Country,Year,Plastic_Waste_Tonnes
Albania,2010,73364.0
Algeria,2010,1898343.0
Angola,2010,528843.0
Antigua and Barbuda,2010,22804.0
Argentina,2010,2753550.0
Australia,2010,900658.0
Bahamas,2010,51364.0
Bahrain,2010,59785.0
Bangladesh,2010,1888170.0
Barbados,2010,58164.0
Belgium,2010,318151.0
Belize,2010,20191.0
Benin,2010,144382.0
Bosnia and Herzegovina,2010,195633.0
Brazil,2010,11852055.0
Brunei,2010,3688.0
Bulgaria,2010,415707.0
Cambodia,2010,344698.0
Cameroon,2010,335305.0
Canada,2010,1154309.0
Cape Verde,2010,11919.0
Chile,2010,738106.0
China,2010,59079741.0
Colombia,2010,2413455.0
Comoros,2010,50599.0
Congo,2010,110479.0
Costa Rica,2010,428029.0
Cote d'Ivoire,2010,766988.0
Croatia,2010,406347.0
Cuba,2010,368154.0
Cyprus,2010,100713.0
Democratic Republic of Congo,2010,1059795.0
Denmark,2010,95171.0
Djibouti,2010,31999.0
Dominica,2010,3885.0
Dominican Republic,2010,520238.0
Ecuador,2010,801321.0
Egypt,2010,5464471.0
El Salvador,2010,330763.0
Equatorial Guinea,2010,49990.0
Eritrea,2010,72120.0
Estonia,2010,85534.0
Fiji,2010,59324.0
Finland,2010,458084.0
France,2010,4557128.0
Gabon,2010,32329.0
Gambia,2010,29646.0
Georgia,2010,97443.0
Germany,2010,14476561.0
Ghana,2010,357877.0
Greece,2010,811858.0
Greenland,2010,5234.0
Grenada,2010,12417.0
Guatemala,2010,1495229.0
Guinea,2010,118196.0
Guinea-Bissau,2010,30666.0
Guyana,2010,159681.0
Haiti,2010,328487.0
Honduras,2010,565317.0
Iceland,2010,32620.0
India,2010,4493080.0
Indonesia,2010,5045714.0
Iran,2010,3919268.0
Iraq,2010,1156524.0
Ireland,2010,715716.0
Israel,2010,826436.0
Italy,2010,2899258.0
Jamaica,2010,34962.0
Japan,2010,7993489.0
Jordan,2010,377506.0
Kenya,2010,407506.0
Kiribati,2010,3859.0
Kuwait,2010,750690.0
Latvia,2010,94935.0
Lebanon,2010,148807.0
Liberia,2010,121050.0
Libya,2010,324250.0
Lithuania,2010,149227.0
Madagascar,2010,123526.0
Malaysia,2010,2031675.0
Maldives,2010,43134.0
Malta,2010,32377.0
Marshall Islands,2010,3674.0
Mauritania,2010,59287.0
Mauritius,2010,104971.0
Mexico,2010,3725463.0
Micronesia (country),2010,3895.0
Monaco,2010,3412.0
Montenegro,2010,32557.0
Morocco,2010,863555.0
Mozambique,2010,132612.0
Myanmar,2010,1373018.0
Namibia,2010,114222.0
Nauru,2010,527.0
Netherlands,2010,2571398.0
New Caledonia,2010,22995.0
New Zealand,2010,525630.0
Nicaragua,2010,299480.0
Nigeria,2010,5961750.0
North Korea,2010,484700.0
Norway,2010,499682.0
Oman,2010,93251.0
Pakistan,2010,6412210.0
Palau,2010,1076.0
Palestine,2010,87636.0
Panama,2010,192818.0
Papua New Guinea,2010,267234.0
Peru,2010,1543879.0
Philippines,2010,2565766.0
Poland,2010,1346905.0
Portugal,2010,1022683.0
Puerto Rico,2010,342306.0
Qatar,2010,103933.0
Romania,2010,310385.0
Russia,2010,5839685.0
Saint Kitts and Nevis,2010,12280.0
Saint Lucia,2010,32882.0
Saint Vincent and the Grenadines,2010,8818.0
Samoa,2010,7000.0
Sao Tome and Principe,2010,6571.0
Saudi Arabia,2010,1561618.0
Senegal,2010,485586.0
Seychelles,2010,11730.0
Sierra Leone,2010,96655.0
Singapore,2010,359483.0
Slovenia,2010,108421.0
Solomon Islands,2010,19842.0
Somalia,2010,237569.0
South Africa,2010,4465798.0
South Korea,2010,2025772.0
Spain,2010,4709157.0
Sri Lanka,2010,2621606.0
Sudan,2010,1292740.0
Suriname,2010,31300.0
Sweden,2010,164305.0
Syria,2010,1365594.0
Tanzania,2010,386998.0
Thailand,2010,3532495.0
Togo,2010,135294.0
Tonga,2010,8476.0
Trinidad and Tobago,2010,1745123.0
Tunisia,2010,559235.0
Turkey,2010,5596657.0
Tuvalu,2010,554.0
Ukraine,2010,1724509.0
United Arab Emirates,2010,600741.0
United Kingdom,2010,4925590.0
United States,2010,37825550.0
Uruguay,2010,310379.0
Vanuatu,2010,25443.0
Venezuela,2010,2669998.0
Vietnam,2010,3268227.0
Yemen,2010,887497.0
