Country,Code,Year,CO2_Emissions,Plastic_Waste_Tonnes
Albania,ALB,2010,4783865.0,73364.0
Algeria,DZA,2010,118353256.0,1898343.0
Angola,AGO,2010,22983320.0,528843.0
Antigua and Barbuda,ATG,2010,549600.0,22804.0
Argentina,ARG,2010,185945940.0,2753550.0
Australia,AUS,2010,405131000.0,900658.0
Bahamas,BHS,2010,2227712.0,51364.0
Bahrain,BHR,2010,29075436.0,59785.0
Bangladesh,BGD,2010,54035524.0,1888170.0
Barbados,BRB,2010,1562936.0,58164.0
Belgium,BEL,2010,114489600.0,318151.0
Belize,BLZ,2010,538608.0,20191.0
Benin,BEN,2010,4679390.0,144382.0
Bosnia and Herzegovina,BIH,2010,21145704.0,195633.0
Brazil,BRA,2010,440269020.0,11852055.0
Brunei,BRN,2010,8017381.5,3688.0
Bulgaria,BGR,2010,47900148.0,415707.0
Cambodia,KHM,2010,5063724.0,344698.0
Cameroon,CMR,2010,8383322.0,335305.0
Canada,CAN,2010,554734300.0,1154309.0
Cape Verde,CPV,2010,556928.0,11919.0
Chile,CHL,2010,71347520.0,738106.0
China,CHN,2010,8620576000.0,59079741.0
Colombia,COL,2010,76266460.0,2413455.0
Comoros,COM,2010,161216.0,50599.0
Congo,COG,2010,5499943.0,110479.0
Costa Rica,CRI,2010,7492647.0,428029.0
Cote d'Ivoire,CIV,2010,6224746.0,766988.0
Croatia,HRV,2010,20986248.0,406347.0
Cuba,CUB,2010,33038394.0,368154.0
Cyprus,CYP,2010,8102210.0,100713.0
Democratic Republic of Congo,COD,2010,2735413.0,1059795.0
Denmark,DNK,2010,49179470.0,95171.0
Djibouti,DJI,2010,516623.97,31999.0
Dominica,DMA,2010,172208.0,3885.0
Dominican Republic,DOM,2010,20553454.0,520238.0
Ecuador,ECU,2010,36276410.0,801321.0
Egypt,EGY,2010,203607570.0,5464471.0
El Salvador,SLV,2010,6318629.0,330763.0
Equatorial Guinea,GNQ,2010,6402228.0,49990.0
Eritrea,ERI,2010,468025.0,72120.0
Estonia,EST,2010,18964736.0,85534.0
Fiji,FJI,2010,1029584.06,59324.0
Finland,FIN,2010,64092004.0,458084.0
France,FRA,2010,376457200.0,4557128.0
Gabon,GAB,2010,5836069.0,32329.0
Gambia,GMB,2010,425024.0,29646.0
Georgia,GEO,2010,6208043.0,97443.0
Germany,DEU,2010,826679940.0,14476561.0
Ghana,GHA,2010,8942513.0,357877.0
Greece,GRC,2010,97354150.0,811858.0
Greenland,GRL,2010,679400.0,5234.0
Grenada,GRD,2010,256480.02,12417.0
Guatemala,GTM,2010,11097682.0,1495229.0
Guinea,GIN,2010,2484192.0,118196.0
Guinea-Bissau,GNB,2010,238160.0,30666.0
Guyana,GUY,2010,1886960.0,159681.0
Haiti,HTI,2010,2136827.0,328487.0
Honduras,HND,2010,7996618.0,565317.0
Iceland,ISL,2010,3626604.0,32620.0
